nf-md-sd,f0479,󰑹
nf-md-qi,f0999,󰦙
nf-md-ph,f17c5,󱟅
nf-md-om,f0973,󰥳
nf-md-et,f0ab3,󰪳
nf-md-at,f0065,󰁥
nf-fa-vk,f189,
nf-fa-tv,f26c,
nf-fa-ra,f1d0,
nf-fa-qq,f1d6,
nf-fa-om,eed4,
nf-fa-js,f2ee,
nf-fa-ge,f1d1,
nf-fa-fa,f2b4,
nf-fa-at,f1fa,
nf-dev-r,e881,
nf-seti-r,e68a,
nf-seti-d,e651,
nf-md-xml,f05c0,󰗀
nf-md-wan,f0588,󰖈
nf-md-vpn,f0582,󰖂
nf-md-vlc,f057c,󰕼
nf-md-vhs,f0a1b,󰨛
nf-md-tie,f0519,󰔙
nf-md-svg,f0721,󰜡
nf-md-ssh,f08c0,󰣀
nf-md-rug,f1475,󱑵
nf-md-owl,f03d2,󰏒
nf-md-ocr,f113a,󱄺
nf-md-oci,f12e9,󱋩
nf-md-oar,f067c,󰙼
nf-md-nut,f06f8,󰛸
nf-md-npm,f06f7,󰛷
nf-md-nix,f1105,󱄅
nf-md-nas,f08f3,󰣳
nf-md-keg,f0305,󰌅
nf-md-gog,f0ba1,󰮡
nf-md-git,f02a2,󰊢
nf-md-fax,f0212,󰈒
nf-md-dna,f0684,󰚄
nf-md-cat,f011b,󰄛
nf-md-bio,f00a6,󰂦
nf-md-bat,f0b5f,󰭟
nf-md-aws,f0e0f,󰸏
nf-md-atm,f0d47,󰵇
nf-fae-pi,e22c,
nf-fa-wix,ee96,
nf-fa-vnv,ed3a,
nf-fa-usd,f155,
nf-fa-usb,f287,
nf-fa-ups,ef73,
nf-fa-tty,f1e4,
nf-fa-try,f195,
nf-fa-tag,f02b,
nf-fa-spa,ee82,
nf-fa-s15,f2cd,
nf-fa-rub,f158,
nf-fa-rmb,f157,
nf-fa-rev,ee7a,
nf-fa-php,ed6d,
nf-fa-paw,f1b0,
nf-fa-osi,ed45,
nf-fa-ns8,ed0f,
nf-fa-npm,ed0e,
nf-fa-mix,ed05,
nf-fa-mdb,efb9,
nf-fa-krw,f159,
nf-fa-key,f084,
nf-fa-jpy,f157,
nf-fa-inr,f156,
nf-fa-ils,f20b,
nf-fa-gem,f219,
nf-fa-gbp,f154,
nf-fa-fly,ed43,
nf-fa-fax,f1ac,
nf-fa-fan,efa7,
nf-fa-eur,f153,
nf-fa-egg,ef80,
nf-fa-dog,eef7,
nf-fa-dna,ed7d,
nf-fa-dhl,ef40,
nf-fa-dev,eef4,
nf-fa-cut,f0c4,
nf-fa-cow,eef1,
nf-fa-cog,f013,
nf-fa-cny,f157,
nf-fa-cat,eeed,
nf-fa-cab,f1ba,
nf-fa-bug,f188,
nf-fa-btc,f15a,
nf-fa-aws,f0ef,
nf-fa-adn,f170,
nf-dev-xd,e8e9,
nf-dev-v8,e8cf,
nf-dev-qt,e87d,
nf-dev-k6,e812,
nf-dev-ie,e744,
nf-dev-go,e724,
nf-cod-vr,ec18,
nf-seti-go,e627,
nf-seti-db,e64d,
nf-seti-cu,e64b,
nf-oct-zap,26a1,⚡
nf-oct-tag,f412,
nf-oct-sun,f522,
nf-oct-rss,f428,
nf-oct-pin,f435,
nf-oct-log,f4ed,
nf-oct-law,f495,
nf-oct-cpu,f4bc,
nf-oct-bug,f46f,
nf-md-zend,f0aeb,󰫫
nf-md-yurt,f1516,󱔖
nf-md-yoga,f117c,󱅼
nf-md-xmpp,f07ff,󰟿
nf-md-waze,f0bde,󰯞
nf-md-wave,f0f2e,󰼮
nf-md-walk,f0583,󰖃
nf-md-tire,f1896,󱢖
nf-md-tent,f0508,󰔈
nf-md-taxi,f04ff,󰓿
nf-md-tank,f0d3a,󰴺
nf-md-taco,f0762,󰝢
nf-md-swim,f04e3,󰓣
nf-md-smog,f0a71,󰩱
nf-md-silo,f0b49,󰭉
nf-md-sass,f07ec,󰟬
nf-md-ring,f07eb,󰟫
nf-md-rice,f07ea,󰟪
nf-md-read,f0447,󰑇
nf-md-rake,f1544,󱕄
nf-md-pump,f1402,󱐂
nf-md-polo,f14c3,󱓃
nf-md-poll,f041f,󰐟
nf-md-plex,f06ba,󰚺
nf-md-nuxt,f1106,󱄆
nf-md-null,f07e2,󰟢
nf-md-nuke,f06a4,󰚤
nf-md-nail,f0ddf,󰷟
nf-md-more,f037b,󰍻
nf-md-mine,f0dda,󰷚
nf-md-mail,f0ebb,󰺻
nf-md-mace,f1843,󱡃
nf-md-lumx,f0346,󰍆
nf-md-leek,f117d,󱅽
nf-md-kodi,f0314,󰌔
nf-md-jira,f0303,󰌃
nf-md-ipod,f0c91,󰲑
nf-md-hulu,f0829,󰠩
nf-md-hops,f02df,󰋟
nf-md-hail,f0ac1,󰫁
nf-md-gold,f124f,󱉏
nf-md-film,f022f,󰈯
nf-md-emby,f06b4,󰚴
nf-md-duck,f01e5,󰇥
nf-md-dlna,f0a41,󰩁
nf-md-cogs,f08d6,󰣖
nf-md-chip,f061a,󰘚
nf-md-bolt,f0db3,󰶳
nf-md-bird,f15c6,󱗆
nf-md-beta,f00a1,󰂡
nf-md-bash,f1183,󱆃
nf-md-barn,f0b5e,󰭞
nf-md-arch,f08c7,󰣇
nf-fae-w3c,e212,
nf-fae-hat,e24e,
nf-fae-gut,e24b,
nf-fae-gps,e248,
nf-fae-dna,e272,
nf-fae-bed,e283,
nf-fa-yelp,f1e9,
nf-fa-yarn,ef75,
nf-fa-xbox,ed3e,
nf-fa-wind,ef16,
nf-fa-wifi,f1eb,
nf-fa-waze,ef9e,
nf-fa-vine,f1ca,
nf-fa-vial,ed90,
nf-fa-usps,ef74,
nf-fa-undo,f0e2,
nf-fa-uber,ed31,
nf-fa-tree,f1bb,
nf-fa-tint,f043,
nf-fa-taxi,f1ba,
nf-fa-tape,edaa,
nf-fa-tags,f02c,
nf-fa-suse,ef6d,
nf-fa-smog,ef29,
nf-fa-sith,eddc,
nf-fa-shop,ee18,
nf-fa-ship,f21a,
nf-fa-save,f0c7,
nf-fa-sass,ed49,
nf-fa-road,f018,
nf-fa-ring,ef0b,
nf-fa-poop,eeaf,
nf-fa-plug,f1e6,
nf-fa-neos,eead,
nf-fa-modx,f285,
nf-fa-mask,ef07,
nf-fa-male,f183,
nf-fa-lyft,f2fd,
nf-fa-leaf,f06c,
nf-fa-jira,ef56,
nf-fa-java,edaf,
nf-fa-imdb,f2d8,
nf-fa-home,f015,
nf-fa-hips,ed6b,
nf-fa-gulp,f2e4,
nf-fa-grav,f2d6,
nf-fa-gift,f06b,
nf-fa-gear,f013,
nf-fa-frog,edf8,
nf-fa-fish,ee41,
nf-fa-film,f008,
nf-fa-feed,f09e,
nf-fa-etsy,f2d7,
nf-fa-ello,eea4,
nf-fa-edit,f044,
nf-fa-edge,f282,
nf-fa-ebay,edbe,
nf-fa-dove,ed99,
nf-fa-digg,f1a6,
nf-fa-deaf,f2a4,
nf-fa-cube,f1b2,
nf-fa-crow,edea,
nf-fa-copy,f0c5,
nf-fa-cogs,f085,
nf-fa-city,eec0,
nf-fa-bong,ee25,
nf-fa-bone,ee9a,
nf-fa-bomb,f1e2,
nf-fa-bolt,f0e7,
nf-fa-bold,f032,
nf-fa-blog,ef36,
nf-fa-bity,f116,
nf-fa-bath,f2cd,
nf-fa-bank,f19c,
nf-fa-atom,ee99,
nf-fa-ankh,eebd,
nf-dev-zig,e8ef,
nf-dev-yii,e782,
nf-dev-xml,e8ea,
nf-dev-vim,e7c5,
nf-dev-uml,e8cb,
nf-dev-tex,e8be,
nf-dev-ssh,e8b1,
nf-dev-sdl,e89c,
nf-dev-ros,e893,
nf-dev-php,e73d,
nf-dev-ory,e85a,
nf-dev-npm,e71e,
nf-dev-nim,e841,
nf-dev-lua,e826,
nf-dev-k3s,e811,
nf-dev-gnu,e779,
nf-dev-gcc,e7e5,
nf-dev-elm,e7ce,
nf-dev-bun,e76f,
nf-dev-aws,e7ad,
nf-dev-awk,e741,
nf-dev-apl,e730,
nf-cod-tag,ea66,
nf-cod-rss,eb47,
nf-cod-pin,eb2b,
nf-cod-law,eb12,
nf-cod-key,eb11,
nf-cod-bug,eaaf,
nf-cod-add,ea60,
nf-seti-zip,e6aa,
nf-seti-zig,e6a9,
nf-seti-yml,e6a8,
nf-seti-xml,e619,
nf-seti-xls,e6a6,
nf-seti-wgt,e6a4,
nf-seti-wat,e6a2,
nf-seti-vue,e6a0,
nf-seti-tex,e69b,
nf-seti-svg,e698,
nf-seti-sbt,e68d,
nf-seti-pug,e686,
nf-seti-php,e608,
nf-seti-pdf,e67d,
nf-seti-nim,e677,
nf-seti-mdo,e675,
nf-seti-lua,e620,
nf-seti-hex,e667,
nf-seti-go2,e65e,
nf-seti-elm,e62c,
nf-seti-ejs,e618,
nf-seti-csv,e64a,
nf-seti-css,e614,
nf-seti-cpp,e646,
nf-seti-bsl,e63c,
nf-seti-asm,e637,
nf-pom-away,e007,
nf-oct-sync,f46a,
nf-oct-stop,f46e,
nf-oct-ruby,f43b,
nf-oct-rows,f50b,
nf-oct-read,f430,
nf-oct-plug,f492,
nf-oct-play,f500,
nf-oct-note,f4f6,
nf-oct-mute,f466,
nf-oct-moon,f4ee,
nf-oct-mail,f42f,
nf-oct-lock,f456,
nf-oct-info,f449,
nf-oct-hash,f4df,
nf-oct-goal,f4de,
nf-oct-gift,f436,
nf-oct-gear,f423,
nf-oct-dash,f48b,
nf-oct-copy,f4bb,
nf-oct-book,f405,
nf-oct-bold,f49d,
nf-oct-apps,f40e,
nf-md-yeast,f05c1,󰗁
nf-md-yahoo,f0b4f,󰭏
nf-md-vuejs,f0844,󰡄
nf-md-vimeo,f0577,󰕷
nf-md-unity,f06af,󰚯
nf-md-torch,f1606,󱘆
nf-md-tools,f1064,󱁤
nf-md-stove,f04de,󰓞
nf-md-steam,f04d3,󰓓
nf-md-spear,f1845,󱡅
nf-md-spade,f0e65,󰹥
nf-md-solid,f068d,󰚍
nf-md-snake,f150e,󱔎
nf-md-snail,f1677,󱙷
nf-md-slide,f15a5,󱖥
nf-md-slack,f04b1,󰒱
nf-md-shore,f14f9,󱓹
nf-md-sheep,f0cc6,󰳆
nf-md-rugby,f0d99,󰶙
nf-md-rivet,f0e60,󰹠
nf-md-regex,f0451,󰑑
nf-md-react,f0708,󰜈
nf-md-radar,f0437,󰐷
nf-md-quora,f0d29,󰴩
nf-md-pulse,f0430,󰐰
nf-md-pizza,f0409,󰐉
nf-md-peace,f0884,󰢄
nf-md-pasta,f1160,󱅠
nf-md-panda,f03da,󰏚
nf-md-opera,f03ce,󰏎
nf-md-omega,f03c9,󰏉
nf-md-offer,f121b,󱈛
nf-md-ninja,f0774,󰝴
nf-md-merge,f0f5c,󰽜
nf-md-lungs,f1084,󱂄
nf-md-loupe,f0345,󰍅
nf-md-looks,f0344,󰍄
nf-md-login,f0342,󰍂
nf-md-lasso,f0f03,󰼃
nf-md-koala,f173f,󱜿
nf-md-group,f02c3,󰋃
nf-md-grass,f1510,󱔐
nf-md-grain,f0d7c,󰵼
nf-md-gnome,f02ac,󰊬
nf-md-gmail,f02ab,󰊫
nf-md-gavel,f029b,󰊛
nf-md-gamma,f10ee,󱃮
nf-md-flare,f0d72,󰵲
nf-md-ferry,f0213,󰈓
nf-md-ember,f0b30,󰬰
nf-md-drone,f01e2,󰇢
nf-md-dolly,f0e9e,󰺞
nf-md-dolby,f06b3,󰚳
nf-md-delta,f01c2,󰇂
nf-md-crowd,f1975,󱥵
nf-md-crane,f0862,󰡢
nf-md-bulma,f12e7,󱋧
nf-md-bugle,f0db4,󰶴
nf-md-broom,f00e2,󰃢
nf-md-brain,f09d1,󰧑
nf-md-beach,f0092,󰂒
nf-md-babel,f0a25,󰨥
nf-md-anvil,f089b,󰢛
nf-md-album,f0025,󰀥
nf-linux-qt,f375,
nf-linux-i3,f35a,
nf-fae-xbox,e29d,
nf-fae-wind,e27e,
nf-fae-tree,e21c,
nf-fae-soup,e204,
nf-fae-sofa,e203,
nf-fae-soda,e202,
nf-fae-ring,e23d,
nf-fae-pear,e2a9,
nf-fae-meat,e2a5,
nf-fae-lung,e25b,
nf-fae-lips,e258,
nf-fae-java,e256,
nf-fae-isle,e2a2,
